MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
669,-3.0010000000000003,3.3160000000000003,6.352,-0.42700000000000005,-0.08900000000000001,0.9009999999999999,-0.10300000000000001,-0.094,-0.44299999999999995,25.243000000000002,-5.625,51.016000000000005,0.0
785,-2.713,3.395,9.835,-0.385,-0.063,0.875,-0.1,-0.09699999999999999,-0.44299999999999995,23.695999999999998,-4.087,52.56399999999999,0.0
902,-7.761,7.586,-2.546,-0.442,-0.052000000000000005,0.912,-0.099,-0.10300000000000001,-0.444,25.826999999999998,-3.2560000000000002,54.766999999999996,0.0
1020,-11.043,22.269000000000002,-4.725,-0.304,0.025,0.8959999999999999,-0.085,-0.11800000000000001,-0.433,18.735,1.575,62.913999999999994,0.0
1139,-0.9540000000000001,24.15,7.087999999999999,-0.32899999999999996,0.042,0.953,-0.063,-0.12300000000000001,-0.45,19.058,2.53,71.262,0.0
1259,8.435,46.541000000000004,10.307,-0.233,-0.065,0.92,-0.039,-0.11199999999999999,-0.473,14.186,-4.056,79.331,0.0
1378,6.221,26.014,18.778,-0.11199999999999999,-0.079,0.9359999999999999,-0.011000000000000001,-0.10400000000000001,-0.484,6.809,-4.805,92.367,0.0
1498,4.27,-0.035,4.1819999999999995,-0.312,-0.24100000000000002,0.978,-0.006,-0.10099999999999999,-0.48100000000000004,17.218,-13.847999999999999,95.41799999999999,0.0
1616,-17.211,-1.199,5.311,-0.233,-0.174,0.912,-0.013999999999999999,-0.102,-0.484,14.115,-10.819,90.69200000000001,0.0
1735,1.794,1.724,-4.156000000000001,-0.196,-0.022000000000000002,0.897,-0.016,-0.12,-0.48700000000000004,12.341,-1.375,90.779,0.0
1855,-0.376,18.48,-1.383,-0.021,-0.09,0.9329999999999999,-0.0,-0.11900000000000001,-0.478,1.287,-5.529,98.37799999999999,0.0
1972,0.39399999999999996,-3.605,-2.0469999999999997,-0.122,-0.042,1.013,0.003,-0.13,-0.479,6.86,-2.359,99.75,0.0
2089,-5.171,5.337999999999999,-0.98,0.005,-0.091,1.02,0.009000000000000001,-0.131,-0.479,-0.276,-5.0760000000000005,102.68299999999999,0.0
2209,-4.401,-6.3260000000000005,1.2690000000000001,-0.23399999999999999,0.051,0.958,-0.005,-0.139,-0.47200000000000003,13.714,3.0639999999999996,96.395,0.0
2329,-4.043,-9.135,-11.786,-0.226,0.151,0.8859999999999999,0.008,-0.142,-0.47200000000000003,14.13,9.654,101.685,0.0
2452,14.123,10.185,-13.046,-0.133,0.047,1.0590000000000002,0.011000000000000001,-0.14400000000000002,-0.475,7.153,2.531,102.97,0.0
2568,1.715,-3.0980000000000003,-18.55,-0.139,0.021,1.123,0.02,-0.145,-0.473,7.071000000000001,1.061,106.431,0.0
2684,-5.468999999999999,8.715,-14.49,-0.107,0.18899999999999997,0.8859999999999999,0.02,-0.161,-0.47,6.763999999999999,12.055,105.58200000000001,0.0
2803,11.288,17.395,-14.857999999999999,-0.209,0.037000000000000005,0.986,0.027999999999999997,-0.161,-0.46799999999999997,11.944,2.125,108.301,0.0
2923,3.9019999999999997,8.339,-21.656,-0.20600000000000002,-0.013000000000000001,1.024,0.046,-0.157,-0.478,11.386,-0.727,114.90899999999999,0.0
3045,11.025,23.949,-14.534,0.11599999999999999,-0.018000000000000002,1.056,0.071,-0.163,-0.478,-6.251,-0.95,121.93799999999999,0.0
3164,-6.484,-2.747,5.337999999999999,-0.124,-0.11,0.924,0.07200000000000001,-0.157,-0.48700000000000004,7.579,-6.817,123.26100000000001,-1.126248545522294
3280,-5.801,-0.46399999999999997,11.323,-0.151,-0.002,0.99,0.069,-0.166,-0.47600000000000003,8.656,-0.134,121.059,-0.4021599824632699
3400,-3.763,2.3890000000000002,11.043,-0.011000000000000001,-0.114,1.018,0.067,-0.166,-0.475,0.6,-6.382000000000001,120.656,-0.13899356602781632
3519,1.094,-4.716,12.574000000000002,-0.043,-0.044000000000000004,1.064,0.06,-0.16399999999999998,-0.478,2.339,-2.351,118.771,0.20243626690507988
3636,9.467,-1.811,13.318,-0.145,-0.047,1.036,0.052000000000000005,-0.16699999999999998,-0.479,7.943,-2.5860000000000003,115.814,0.016447594407980715
3758,0.47200000000000003,-5.749,26.836,0.01,-0.038,0.9229999999999999,0.051,-0.159,-0.483,-0.632,-2.334,116.52799999999999,-1.2122677059810454
3877,-3.465,-30.861,45.57899999999999,-0.254,-0.122,0.956,0.01,-0.14400000000000002,-0.47200000000000003,14.789000000000001,-7.252999999999999,102.634,-0.4626854755288762
3993,3.1239999999999997,-17.299,18.874000000000002,-0.297,-0.081,1.0170000000000001,-0.028999999999999998,-0.138,-0.45899999999999996,16.255,-4.579,86.835,0.160175949242377
4110,-0.018000000000000002,-0.026000000000000002,13.562999999999999,0.019,-0.091,1.024,-0.045,-0.128,-0.45,-1.04,-5.104,79.399,-0.16178519754977194
4229,-0.595,-19.285,20.458,-0.18600000000000003,-0.005,0.938,-0.057,-0.132,-0.442,11.242,-0.313,75.301,-0.8530594818934677
4352,7.061,-38.631,24.299,-0.312,0.038,0.9179999999999999,-0.08800000000000001,-0.12,-0.44299999999999995,18.727,2.374,62.077,-0.6970219974955099
4469,12.232999999999999,-5.303,17.885,-0.5429999999999999,0.045,0.895,-0.114,-0.098,-0.428,31.201999999999998,2.8680000000000003,49.163999999999994,0.057788069785822516
4589,13.290999999999999,7.14,-5.206,-0.423,0.01,1.07,-0.115,-0.09,-0.439,21.557,0.536,46.623000000000005,0.927794992719058
4706,13.379000000000001,20.570999999999998,-6.983,-0.33899999999999997,0.027000000000000003,0.991,-0.10099999999999999,-0.087,-0.444,18.88,1.541,49.103,-0.07616350041665698
4825,14.123,24.526,-27.965,-0.247,-0.057999999999999996,0.885,-0.076,-0.08199999999999999,-0.461,15.530999999999999,-3.737,55.871,-1.3260508927886085
4948,10.491,7.359,-23.090999999999998,-0.057999999999999996,-0.122,0.9079999999999999,-0.057999999999999996,-0.085,-0.47700000000000004,3.611,-7.681,64.325,-1.3570395948699607
5064,5.407,-28.927,-11.113,-0.327,-0.172,0.95,-0.055,-0.09300000000000001,-0.473,18.707,-10.264000000000001,68.036,-0.3487312179711983
5180,-13.799000000000001,10.211,22.33,-0.255,-0.135,1.003,-0.066,-0.092,-0.45799999999999996,14.122,-7.66,62.96,-0.10458327090376585
5299,-16.975,-0.42,13.659,-0.353,-0.10800000000000001,1.058,-0.071,-0.092,-0.45899999999999996,18.348,-5.836,60.898,0.6017132358186166
