MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
726,3.1319999999999997,0.6829999999999999,3.3689999999999998,0.435,0.095,0.838,0.215,0.18100000000000002,-0.5329999999999999,-27.266,6.492000000000001,228.736,0.0
845,-1.54,2.713,2.572,0.429,0.095,0.843,0.214,0.179,-0.536,-26.838,6.4510000000000005,228.5,0.0
963,1.479,2.362,1.3130000000000002,0.44299999999999995,0.085,0.848,0.213,0.182,-0.541,-27.461,5.7170000000000005,229.16299999999998,0.0
1079,-29.487,-40.959,-12.520999999999999,0.66,-0.073,0.7559999999999999,0.20600000000000002,0.179,-0.535,-40.983000000000004,-5.544,229.611,0.0
1199,-69.94800000000001,-129.22899999999998,-24.910999999999998,0.319,0.302,0.81,0.109,0.11599999999999999,-0.545,-20.248,20.434,235.575,0.0
1320,-35.830999999999996,-101.675,-23.625,-0.13,-0.113,1.2770000000000001,0.002,0.078,-0.545,5.77,-5.052,277.447,0.0
1440,-40.861999999999995,-39.568000000000005,-7.569,-0.141,0.706,0.815,-0.08199999999999999,-0.005,-0.508,7.4479999999999995,40.883,12.175,0.0
1556,23.354,-26.994,11.795,-0.33299999999999996,0.483,0.8370000000000001,-0.11599999999999999,0.001,-0.488,18.995,29.985,8.235,0.0
1672,12.092,3.447,-9.852,-0.31,0.225,1.0170000000000001,-0.12300000000000001,0.027000000000000003,-0.488,16.564,12.481,356.29900000000004,0.0
1790,18.148,13.554,0.919,-0.138,0.341,0.851,-0.109,0.032,-0.49200000000000005,8.55,21.825,352.19,0.0
1913,11.470999999999998,-0.569,-10.124,-0.096,0.273,0.887,-0.10400000000000001,0.037000000000000005,-0.488,5.9079999999999995,17.116,348.999,0.0
2032,13.405,-6.396,-2.52,-0.095,0.41700000000000004,0.8370000000000001,-0.11599999999999999,0.038,-0.485,5.818,26.453000000000003,350.477,0.0
2151,27.465999999999998,-23.1,-16.975,-0.257,0.266,0.997,-0.139,0.055,-0.469,13.997,14.953,346.88800000000003,0.0
2268,-2.783,-1.558,-32.165,-0.309,0.048,1.155,-0.154,0.049,-0.473,14.982000000000001,2.377,350.79,0.0
2386,-6.93,12.005,-17.063,-0.10400000000000001,0.32899999999999996,0.873,-0.14300000000000002,0.026000000000000002,-0.486,6.37,20.656999999999996,358.39300000000003,0.0
2506,-0.63,-5.233,-18.524,-0.174,0.3,0.9840000000000001,-0.14,0.006,-0.474,9.602,16.934,6.175,0.0
2626,10.815,-53.419,-6.921,-0.14,0.39299999999999996,1.0170000000000001,-0.163,0.013000000000000001,-0.46299999999999997,7.295,21.129,3.906,0.0
2744,24.045,-51.494,2.888,-0.415,0.375,0.9129999999999999,-0.205,0.026000000000000002,-0.42700000000000005,22.813000000000002,22.319000000000003,1.3630000000000002,0.0
2861,39.419000000000004,-30.188000000000002,-0.245,-0.62,0.196,0.865,-0.239,0.048,-0.40399999999999997,34.933,12.764000000000001,357.27,0.0
2980,15.829,28.718000000000004,9.301,-0.5870000000000001,0.151,0.934,-0.24600000000000002,0.051,-0.396,31.813000000000002,9.182,356.91900000000004,0.0
3103,1.33,20.596999999999998,13.387,-0.35600000000000004,0.134,0.8,-0.217,0.068,-0.418,23.673000000000002,9.501,351.27,-2.9063764840726307
3223,0.866,9.695,10.649000000000001,-0.45799999999999996,0.223,0.8240000000000001,-0.22,0.073,-0.419,28.24,15.173,350.101,-1.7628553045614592
3338,25.2,36.556999999999995,21.919,-0.40399999999999997,0.175,0.682,-0.201,0.095,-0.433,29.838,14.36,343.273,-3.73636119331496
3457,11.349,30.747,33.757,-0.092,0.081,0.828,-0.17300000000000001,0.11900000000000001,-0.45899999999999996,6.337000000000001,5.612,334.083,-3.5903669711527444
3576,8.479,-10.561,24.614,-0.004,-0.016,0.885,-0.16,0.142,-0.462,0.272,-1.034,327.031,-3.080573576593506
3695,2.8960000000000004,-22.986,-25.209,-0.07400000000000001,-0.012,0.973,-0.17300000000000001,0.139,-0.466,4.368,-0.682,329.819,-2.067790470723454
3819,11.113,-38.08,18.680999999999997,-0.494,0.122,0.9990000000000001,-0.207,0.13699999999999998,-0.43,26.151,6.947,335.034,-0.5694557071422488
3937,0.46399999999999997,-4.463,17.448,-0.205,-0.10099999999999999,1.12,-0.212,0.14800000000000002,-0.426,10.344000000000001,-5.1739999999999995,333.77099999999996,-0.31486694573491625
4057,-27.073,-73.71,-19.757,-0.363,0.337,0.762,-0.23,0.138,-0.413,23.533,23.888,337.667,-2.5954546294194936
4176,7.455,12.434000000000001,-0.604,-0.7929999999999999,0.16399999999999998,0.8759999999999999,-0.27,0.12,-0.374,41.647,10.622,344.651,0.17046912262454272
