MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
666,1.3559999999999999,0.831,3.614,-0.122,0.191,0.9540000000000001,-0.07400000000000001,0.035,-0.528,7.125,11.311,342.978,0.0
782,1.864,1.619,3.4739999999999998,-0.13,0.179,0.9520000000000001,-0.07,0.033,-0.5329999999999999,7.617999999999999,10.624,343.725,0.0
902,1.251,4.97,1.706,-0.113,0.196,0.934,-0.07200000000000001,0.036000000000000004,-0.529,6.737,11.838,342.149,0.0
1020,2.135,1.9340000000000002,1.715,-0.183,0.16699999999999998,0.9640000000000001,-0.073,0.026000000000000002,-0.531,10.569,9.824,348.73,0.0
1140,0.9359999999999999,2.642,2.2569999999999997,-0.113,0.19399999999999998,0.965,-0.07200000000000001,0.032,-0.534,6.542000000000001,11.390999999999998,344.845,0.0
1263,0.6829999999999999,-4.5680000000000005,3.194,-0.057,0.191,0.965,-0.071,0.028999999999999998,-0.528,3.305,11.175999999999998,345.96,0.0
1379,2.126,7.56,2.555,-0.18899999999999997,0.16899999999999998,0.955,-0.076,0.028999999999999998,-0.526,11.02,10.016,347.77,0.0
1496,1.05,-2.852,4.3580000000000005,-0.10300000000000001,0.183,0.9670000000000001,-0.07200000000000001,0.03,-0.536,5.955,10.705,345.976,0.0
1614,0.341,0.359,4.76,-0.132,0.222,0.968,-0.081,0.03,-0.535,7.559,12.894,348.1,0.0
1733,1.8730000000000002,1.768,3.509,-0.10300000000000001,0.19699999999999998,0.982,-0.079,0.032,-0.536,5.874,11.350999999999999,346.5,0.0
1856,3.6839999999999997,-0.289,4.261,-0.09699999999999999,0.195,0.922,-0.078,0.027999999999999997,-0.5329999999999999,5.8839999999999995,11.96,348.76300000000003,0.0
1975,-5.013999999999999,20.169,-2.7910000000000004,-0.267,0.315,0.9520000000000001,-0.08,0.032,-0.536,14.887,18.331,346.727,0.0
2092,0.516,4.803999999999999,7.569,0.034,0.14800000000000002,0.978,-0.065,0.035,-0.5429999999999999,-1.986,8.59,340.065,0.0
2211,6.492000000000001,17.167,-3.176,-0.222,0.251,1.016,-0.07400000000000001,0.031,-0.541,11.979000000000001,13.895999999999999,345.976,0.0
2330,-6.816,-11.925999999999998,2.476,-0.062,0.132,1.35,-0.07200000000000001,0.03,-0.528,2.637,5.581,346.094,0.0
2447,12.828,-64.75,33.784,-0.315,0.191,1.255,-0.11,0.044000000000000004,-0.514,13.923,8.661,346.968,0.0
2566,15.925,-73.631,34.029,-0.45,0.016,0.898,-0.184,0.091,-0.46299999999999997,26.596,1.001,342.207,0.0
2685,-22.593000000000004,-78.10300000000001,68.259,-0.38299999999999995,0.22899999999999998,0.857,-0.244,0.124,-0.409,23.355,14.964,341.595,0.0
2805,-19.959,-46.882,44.625,-0.54,0.146,0.7170000000000001,-0.284,0.139,-0.35600000000000004,36.425,11.526,342.48,0.0
2924,-28.009,-5.434,65.59899999999999,-0.629,0.175,0.738,-0.298,0.17600000000000002,-0.341,39.656,13.341,338.045,0.0
3044,-16.406,4.699,61.373000000000005,-0.698,0.179,0.792,-0.285,0.217,-0.341,40.704,12.753,331.218,0.0
3166,-1.146,-13.624,79.39699999999999,-0.675,-0.028999999999999998,0.703,-0.26899999999999996,0.272,-0.331,43.836999999999996,-2.3369999999999997,323.194,-0.9362664842760906
3286,-14.359000000000002,-13.519,65.957,-0.728,-0.254,0.381,-0.24,0.32299999999999995,-0.326,57.825,-33.675,315.195,-2.5917551410574515
3401,-52.876000000000005,12.854000000000001,70.551,-0.72,-0.23800000000000002,0.46299999999999997,-0.213,0.354,-0.321,54.129,-27.178,309.577,-2.4010843293678894
3521,-54.162,32.594,70.753,-0.358,-0.272,0.599,-0.163,0.36,-0.366,28.521,-24.377,302.93,-4.227572760969778
3641,-58.153,37.485,40.04,-0.214,-0.147,0.804,-0.098,0.353,-0.429,14.671,-10.372,294.158,-3.321959249358506
3763,-51.765,-2.109,-9.738999999999999,-0.40299999999999997,0.025,0.986,-0.075,0.313,-0.455,22.23,1.4780000000000002,292.072,-1.0501716445337554
3883,-2.678,-9.966000000000001,6.606,-0.628,0.045,0.9259999999999999,-0.106,0.28300000000000003,-0.45,34.121,2.7680000000000002,299.08,-0.463364990346407
4001,7.744,82.469,8.461,-0.424,-0.17,0.8320000000000001,-0.08800000000000001,0.301,-0.452,26.54,-11.519,294.845,-2.076959018377276
4120,-29.199,91.49,-6.895,-0.26899999999999996,0.18100000000000002,1.115,-0.03,0.29,-0.484,13.404000000000002,9.216000000000001,284.416,0.0020743573468784415
4236,22.96,30.160999999999998,31.176,-0.171,-0.363,1.032,0.027000000000000003,0.308,-0.484,8.872,-19.37,273.64799999999997,-0.48754138973358585
4356,-35.088,18.769000000000002,1.173,-0.272,-0.043,1.002,0.046,0.297,-0.489,15.189,-2.4530000000000003,269.745,-1.100271000255383
4475,-8.208,14.56,33.294000000000004,-0.23,-0.022000000000000002,0.94,0.059000000000000004,0.275,-0.501,13.728,-1.324,266.553,-1.7577944934327452
4594,-12.539000000000001,13.16,31.159000000000002,-0.21,0.024,0.993,0.08800000000000001,0.27399999999999997,-0.511,11.955,1.383,260.763,-1.2499790133651945
4711,0.096,6.466,4.541,-0.299,0.032,0.98,0.092,0.263,-0.518,16.965,1.896,259.381,-1.1134602937116775
4827,2.371,16.704,1.0590000000000002,-0.162,-0.086,0.978,0.10099999999999999,0.263,-0.512,9.368,-5.018,257.545,-1.374078832802963
4950,-3.2030000000000003,5.18,11.323,-0.12300000000000001,-0.005,0.975,0.115,0.264,-0.505,7.1979999999999995,-0.294,255.041,-1.4660376855412247
