MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
696,1.785,0.892,2.398,-0.188,0.248,0.917,-0.102,-0.085,-0.478,11.168,15.128,48.347,0.0
816,-3.01,-4.323,2.3890000000000002,-0.23399999999999999,0.284,0.898,-0.113,-0.083,-0.479,13.946,17.535999999999998,45.003,0.0
931,-6.834,17.211,13.107999999999999,-0.183,0.368,0.951,-0.115,-0.085,-0.47100000000000003,10.176,21.131,44.979,0.0
1051,6.921,-3.168,1.479,-0.28300000000000003,0.311,0.9259999999999999,-0.12,-0.077,-0.473,16.166,18.553,41.315,0.0
1170,5.749,-10.491,0.166,-0.386,0.126,1.032,-0.124,-0.067,-0.475,20.365,6.962999999999999,37.209,0.0
1292,8.54,12.355,11.419,-0.289,0.247,1.172,-0.11599999999999999,-0.076,-0.473,13.562999999999999,11.909,41.74,0.0
1412,34.79,22.802,29.313000000000002,-0.191,0.285,0.9890000000000001,-0.113,-0.048,-0.488,10.487,16.069000000000003,31.804000000000002,0.0
1531,25.086,2.2230000000000003,32.821,-0.17800000000000002,0.133,0.9790000000000001,-0.111,-0.006,-0.494,10.201,7.732,11.9,0.0
1650,22.234,19.609,46.086000000000006,-0.17300000000000001,0.134,0.885,-0.113,0.027999999999999997,-0.496,10.967,8.582,354.62800000000004,0.0
1769,18.673,9.59,43.041000000000004,-0.111,0.051,0.905,-0.102,0.067,-0.496,6.952999999999999,3.2560000000000002,335.384,0.0
1892,-15.216,-19.609,46.83,-0.17,0.07200000000000001,0.986,-0.10800000000000001,0.087,-0.499,9.744,4.188,329.722,0.0
2011,5.644,-16.494,59.718999999999994,-0.217,0.079,1.035,-0.127,0.10099999999999999,-0.48100000000000004,11.800999999999998,4.391,329.889,0.0
2127,-25.419,-15.068,67.209,-0.248,0.126,1.089,-0.127,0.121,-0.48,12.74,6.6,324.935,0.0
2247,-12.705,-11.48,89.679,-0.38799999999999996,0.023,1.1079999999999999,-0.141,0.154,-0.469,19.312,1.214,321.159,0.0
2362,-34.16,-68.346,107.214,-0.365,0.083,0.978,-0.14400000000000002,0.191,-0.457,20.422,4.86,315.678,0.0
2482,-36.304,-49.481,95.445,-0.544,0.059000000000000004,0.551,-0.174,0.223,-0.423,44.451,6.159,316.629,0.0
2601,-13.325999999999999,-6.343999999999999,78.829,-0.614,0.205,0.878,-0.168,0.251,-0.418,34.268,13.13,312.395,0.0
