MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
651,-1.199,2.266,0.9890000000000001,-0.49700000000000005,-0.064,0.863,0.032,0.264,-0.46,29.886999999999997,-4.257,271.661,0.0
766,1.041,2.17,-5.591,-0.499,-0.083,0.862,0.026000000000000002,0.256,-0.45799999999999996,29.936,-5.489,272.845,0.0
886,4.637,-0.23600000000000002,-1.138,-0.5529999999999999,-0.11800000000000001,0.8590000000000001,0.017,0.256,-0.452,32.543,-7.794,274.797,0.0
1005,2.6689999999999996,10.955,3.08,-0.444,-0.03,0.852,0.024,0.258,-0.452,27.531,-2.042,273.279,0.0
1122,4.077,0.77,2.424,-0.48100000000000004,-0.121,0.8759999999999999,0.027999999999999997,0.266,-0.46,28.565,-7.865,272.654,0.0
1241,-1.514,1.575,4.025,-0.514,-0.09300000000000001,0.8740000000000001,0.025,0.258,-0.45899999999999996,30.328000000000003,-6.059,273.15,0.0
1359,-7.4110000000000005,3.588,6.65,-0.46299999999999997,-0.057,0.855,0.024,0.261,-0.452,28.375,-3.807,273.402,0.0
1478,-4.664,2.249,-1.426,-0.503,-0.0,0.879,0.019,0.253,-0.46399999999999997,29.791999999999998,-0.008,274.283,0.0
1595,-0.7090000000000001,11.9,0.534,-0.47600000000000003,0.039,0.8859999999999999,0.027000000000000003,0.251,-0.465,28.218000000000004,2.524,272.541,0.0
1711,9.249,10.124,-0.613,-0.41700000000000004,-0.052000000000000005,0.9109999999999999,0.031,0.252,-0.467,24.584,-3.2760000000000002,271.494,0.0
1833,7.928,-1.3559999999999999,-5.0569999999999995,-0.41700000000000004,-0.085,0.873,0.032,0.261,-0.465,25.432,-5.571000000000001,271.694,0.0
1950,5.556,-0.604,-12.775,-0.518,-0.084,0.9,0.032,0.259,-0.46,29.831999999999997,-5.355,271.58099999999996,0.0
2070,-2.9219999999999997,4.795,-3.946,-0.45299999999999996,-0.055,0.893,0.026000000000000002,0.256,-0.46399999999999997,26.854,-3.503,272.718,0.0
2189,-1.3559999999999999,0.40299999999999997,1.969,-0.445,0.009000000000000001,0.89,0.022000000000000002,0.251,-0.466,26.543000000000003,0.5770000000000001,273.55,0.0
2309,1.8459999999999999,1.986,4.611000000000001,-0.46799999999999997,-0.013999999999999999,0.9,0.021,0.24600000000000002,-0.47,27.463,-0.9079999999999999,273.612,0.0
2432,1.558,3.237,5.609,-0.451,0.005,0.907,0.025,0.248,-0.478,26.432,0.331,272.93,0.0
2551,3.99,4.314,2.835,-0.429,-0.006999999999999999,0.905,0.025,0.256,-0.473,25.340999999999998,-0.455,272.95,0.0
2670,5.635,3.036,3.071,-0.41700000000000004,-0.001,0.92,0.026000000000000002,0.259,-0.462,24.351999999999997,-0.076,272.83299999999997,0.0
2785,4.235,5.4510000000000005,2.494,-0.391,-0.039,0.9229999999999999,0.027000000000000003,0.256,-0.473,22.965,-2.416,272.622,0.0
2902,1.6969999999999998,3.517,8.269,-0.428,0.012,0.9109999999999999,0.026000000000000002,0.261,-0.466,25.185,0.725,272.973,0.0
3021,2.678,5.425,4.856,-0.396,-0.040999999999999995,0.907,0.036000000000000004,0.263,-0.47,23.583000000000002,-2.576,270.848,-0.25266745335856555
