MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
688,7.297999999999999,5.688,2.362,-0.381,0.094,0.9129999999999999,-0.01,-0.17,-0.40299999999999997,22.555999999999997,5.881,95.18299999999999,0.0
807,6.563,4.664,4.226,-0.32799999999999996,0.061,0.8909999999999999,-0.002,-0.166,-0.40399999999999997,20.180999999999997,3.889,97.76100000000001,0.0
923,7.6739999999999995,0.84,-2.52,-0.36200000000000004,0.061,0.92,-0.005,-0.161,-0.41200000000000003,21.436,3.7910000000000004,96.682,0.0
1040,5.836,6.7989999999999995,-9.012,-0.313,0.012,0.9259999999999999,-0.0,-0.157,-0.418,18.687,0.713,98.478,0.0
1155,8.059,1.89,-5.994,-0.308,0.09699999999999999,0.94,0.01,-0.157,-0.41700000000000004,18.02,5.907,102.163,0.0
1277,3.0269999999999997,20.073,19.862000000000002,-0.254,0.016,0.961,0.015,-0.159,-0.423,14.808,0.9420000000000001,104.10600000000001,0.0
1397,3.605,10.745,11.13,-0.266,0.004,0.914,0.016,-0.15,-0.42200000000000004,16.206,0.233,104.645,0.0
1516,-5.005,3.815,3.85,-0.158,-0.023,0.966,0.021,-0.145,-0.429,9.301,-1.339,106.656,0.0
1635,-0.5770000000000001,-1.601,11.909,-0.26899999999999996,0.08800000000000001,0.9890000000000001,0.015,-0.151,-0.424,15.17,5.065,104.243,0.0
1752,1.321,-9.354,-6.379,-0.235,0.051,0.99,0.012,-0.149,-0.429,13.315,2.931,103.26799999999999,0.0
1873,0.48100000000000004,-12.18,-3.9989999999999997,-0.415,0.11900000000000001,0.982,0.001,-0.149,-0.41700000000000004,22.77,6.92,98.902,0.0
1990,7.989,0.7440000000000001,4.314,-0.32299999999999995,0.079,0.9440000000000001,-0.006999999999999999,-0.15,-0.425,18.852,4.81,96.07,0.0
2107,15.374,15.969000000000001,-2.9139999999999997,-0.31,0.04,0.909,-0.002,-0.149,-0.429,18.793,2.516,97.988,0.0
2223,9.432,21.166,-11.323,-0.107,-0.106,1.004,0.019,-0.147,-0.43799999999999994,6.028,-6.047999999999999,105.853,0.0
2342,9.467,9.765,9.222000000000001,-0.04,-0.077,0.973,0.033,-0.139,-0.44,2.364,-4.5360000000000005,111.82700000000001,0.0
2462,9.257,4.856,7.026,-0.14300000000000002,-0.122,1.012,0.028999999999999998,-0.126,-0.45,7.978,-6.864,111.565,0.0
2582,3.517,14.315,-2.555,-0.038,-0.091,0.963,0.038,-0.126,-0.455,2.222,-5.386,115.33200000000001,0.0
2700,0.009000000000000001,5.372000000000001,-1.855,-0.033,-0.065,0.986,0.045,-0.125,-0.46299999999999997,1.902,-3.7439999999999998,118.311,0.0
2820,2.5810000000000004,2.739,1.916,0.024,-0.034,1.008,0.045,-0.127,-0.462,-1.358,-1.93,118.05,0.0
2939,1.916,3.395,2.231,0.016,-0.086,1.0070000000000001,0.049,-0.127,-0.46,-0.899,-4.894,119.81200000000001,0.0
3057,-1.768,-0.385,11.515,-0.14300000000000002,-0.039,0.9690000000000001,0.047,-0.125,-0.467,8.369,-2.302,119.242,-0.30105904596426214
3181,1.7590000000000001,8.356,5.731,-0.131,-0.028999999999999998,0.982,0.048,-0.122,-0.47,7.617000000000001,-1.719,119.973,-0.15501505188275383
3299,-3.9019999999999997,12.477,4.235,-0.153,-0.085,0.927,0.045,-0.11800000000000001,-0.473,9.317,-5.218,119.29299999999999,-0.8216613704572246
3419,3.5610000000000004,5.329,7.682,-0.028999999999999998,-0.174,1.077,0.055,-0.12300000000000001,-0.47700000000000004,1.5019999999999998,-9.198,122.759,0.39832652293990534
3538,-6.379,9.8,22.601,0.107,0.022000000000000002,1.03,0.05,-0.128,-0.47700000000000004,-5.917000000000001,1.197,120.12100000000001,-0.12069064468420743
3657,1.995,3.763,5.294,0.015,0.015,1.018,0.044000000000000004,-0.128,-0.47700000000000004,-0.851,0.8170000000000001,117.389,-0.2566612953670422
