MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
655,-5.801,7.49,11.664000000000001,-0.22899999999999998,0.011000000000000001,1.022,0.006999999999999999,-0.11,-0.442,12.645999999999999,0.619,102.156,0.0
775,-3.8680000000000003,8.619,4.471,-0.107,0.068,0.9129999999999999,0.012,-0.114,-0.446,6.667000000000001,4.247,104.681,0.0
890,5.2589999999999995,7.8660000000000005,7.096,-0.039,-0.027000000000000003,1.02,0.013999999999999999,-0.115,-0.447,2.171,-1.5419999999999998,105.714,0.0
1010,-0.21899999999999997,3.745,9.555,-0.205,-0.048,0.8420000000000001,0.01,-0.11699999999999999,-0.446,13.652000000000001,-3.2889999999999997,103.65700000000001,0.0
1129,8.592,-5.145,7.7,0.016,-0.10099999999999999,1.094,0.013999999999999999,-0.114,-0.451,-0.8170000000000001,-5.287000000000001,105.48899999999999,0.0
1249,0.7609999999999999,-4.253,14.235999999999999,-0.126,-0.124,0.963,-0.003,-0.11199999999999999,-0.446,7.382999999999999,-7.362,97.15100000000001,0.0
1368,-1.015,-1.7590000000000001,16.94,-0.11699999999999999,0.081,0.9690000000000001,-0.004,-0.10300000000000001,-0.452,6.856,4.803,96.178,0.0
1487,4.445,0.91,14.42,-0.17800000000000002,-0.054000000000000006,0.973,-0.013999999999999999,-0.10099999999999999,-0.45399999999999996,10.359000000000002,-3.2,90.80799999999999,0.0
1606,0.079,25.891,-8.855,-0.018000000000000002,-0.013999999999999999,0.946,-0.009000000000000001,-0.1,-0.452,1.0979999999999999,-0.828,93.36399999999999,0.0
1722,4.165,-17.99,8.995,-0.18100000000000002,-0.091,1.036,-0.006,-0.105,-0.461,9.857000000000001,-5.019,95.531,0.0
1841,1.347,19.049,15.505,0.013000000000000001,0.031,1.022,-0.019,-0.10300000000000001,-0.449,-0.742,1.7369999999999999,88.275,0.0
1960,2.205,-3.378,-3.08,-0.251,0.059000000000000004,0.9670000000000001,-0.025,-0.10400000000000001,-0.45299999999999996,14.522,3.5069999999999997,84.944,0.0
2079,4.3660000000000005,14.0,-1.435,-0.057,0.138,1.0170000000000001,-0.021,-0.11199999999999999,-0.45899999999999996,3.161,7.712999999999999,88.09899999999999,0.0
2199,8.706,9.406,-3.395,-0.121,0.05,0.98,-0.013000000000000001,-0.11,-0.467,7.02,2.898,91.706,0.0
2316,2.5639999999999996,0.499,-0.47200000000000003,-0.235,-0.10800000000000001,1.0170000000000001,-0.006,-0.107,-0.467,12.934000000000001,-6.07,95.425,0.0
2438,2.17,11.777999999999999,-1.995,-0.128,-0.021,0.971,-0.001,-0.11,-0.465,7.504,-1.238,98.07,0.0
2557,-4.471,-6.825,-0.604,-0.166,0.040999999999999995,0.924,0.006999999999999999,-0.11199999999999999,-0.465,10.172,2.517,102.38,0.0
2676,7.324,-0.9620000000000001,4.428,-0.066,-0.008,0.977,0.01,-0.11800000000000001,-0.465,3.855,-0.451,103.25399999999999,0.0
2795,2.975,0.157,-4.095,-0.049,-0.079,1.05,0.006999999999999999,-0.113,-0.47200000000000003,2.678,-4.303999999999999,101.992,0.0
2911,-2.765,14.543,5.2410000000000005,-0.139,-0.023,0.988,0.008,-0.11900000000000001,-0.474,7.989,-1.3159999999999998,102.47,0.0
3030,2.1959999999999997,-1.365,9.126,-0.121,-0.027999999999999997,0.985,0.016,-0.12,-0.473,6.987,-1.642,106.315,-0.09018989561190693
3152,-3.605,14.655999999999999,0.149,-0.11699999999999999,-0.004,1.021,0.012,-0.114,-0.48100000000000004,6.54,-0.226,104.65799999999999,0.08460175726378927
3271,5.888999999999999,0.175,2.826,-0.043,-0.012,0.899,0.024,-0.12300000000000001,-0.47200000000000003,2.719,-0.742,109.677,-1.531598370916106
3388,-1.89,-14.550999999999998,-6.352,-0.122,0.036000000000000004,0.9009999999999999,0.021,-0.127,-0.478,7.7139999999999995,2.302,108.001,-1.516550182004408
3504,2.03,2.135,11.34,-0.08,0.01,1.077,0.013000000000000001,-0.125,-0.47700000000000004,4.257,0.542,104.53200000000001,0.11842824524106499
3622,9.546,-0.875,3.4739999999999998,-0.262,-0.018000000000000002,1.0,0.006,-0.125,-0.46799999999999997,14.665,-1.0270000000000001,101.52600000000001,-0.2901263115524795
3742,8.724,10.658,7.446000000000001,-0.121,-0.026000000000000002,1.0190000000000001,0.002,-0.12,-0.479,6.769,-1.4569999999999999,99.584,-0.32442856745559034
3859,5.285,1.015,1.155,0.045,-0.12,1.013,0.005,-0.109,-0.48,-2.5140000000000002,-6.757000000000001,101.292,-0.34401398897157265
3975,6.755,4.218,3.946,-0.098,-0.067,1.0170000000000001,0.002,-0.111,-0.475,5.499,-3.7560000000000002,99.37700000000001,-0.29017088102059974
