MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
636,13.23,11.960999999999999,8.339,-0.14400000000000002,-0.053,1.006,-0.008,-0.10099999999999999,-0.457,8.124,-2.988,94.07799999999999,0.0
753,-1.251,2.511,17.097,-0.15,-0.073,0.927,-0.008,-0.094,-0.461,9.169,-4.512,93.618,0.0
869,0.9620000000000001,3.054,6.151,0.008,-0.025,1.099,-0.009000000000000001,-0.08800000000000001,-0.457,-0.442,-1.32,92.49,0.0
985,2.678,-12.399000000000001,-2.9930000000000003,-0.18,-0.10099999999999999,0.9279999999999999,-0.017,-0.091,-0.451,10.892999999999999,-6.195,88.306,0.0
1103,5.5120000000000005,6.895,9.179,0.006999999999999999,-0.009000000000000001,1.055,-0.017,-0.09,-0.45799999999999996,-0.40399999999999997,-0.504,87.96,0.0
1226,9.459,4.76,-5.556,-0.078,-0.081,1.003,-0.018000000000000002,-0.079,-0.45399999999999996,4.416,-4.628,85.815,0.0
1344,-0.84,-1.715,-5.609,-0.106,-0.022000000000000002,0.924,-0.009000000000000001,-0.085,-0.46299999999999997,6.567,-1.3619999999999999,92.76700000000001,0.0
1460,0.018000000000000002,-10.29,-1.365,-0.24100000000000002,-0.094,0.941,-0.011000000000000001,-0.096,-0.461,14.288,-5.694,92.258,0.0
1580,-0.341,1.881,2.949,-0.135,0.018000000000000002,0.895,-0.021,-0.10400000000000001,-0.456,8.597999999999999,1.141,87.359,0.0
1698,3.7889999999999997,-8.977,-8.767000000000001,-0.28600000000000003,-0.132,1.034,-0.018000000000000002,-0.1,-0.46299999999999997,15.355,-7.263,88.55799999999999,0.0
1822,-1.636,3.911,0.84,-0.156,-0.071,1.0270000000000001,-0.015,-0.11,-0.45299999999999996,8.616,-3.971,90.928,0.0
1938,-24.115,4.9,13.606,-0.19399999999999998,-0.003,0.88,-0.016,-0.126,-0.45299999999999996,12.443,-0.20600000000000002,91.361,0.0
2055,5.731,2.406,9.196,-0.129,0.012,0.985,-0.018000000000000002,-0.132,-0.45299999999999996,7.478,0.695,90.655,0.0
2173,3.0269999999999997,-7.577000000000001,21.385,-0.156,0.054000000000000006,0.917,-0.026000000000000002,-0.131,-0.451,9.619,3.372,87.493,0.0
2292,1.339,-1.645,14.315,-0.318,0.07200000000000001,1.0090000000000001,-0.038,-0.11900000000000001,-0.446,17.442999999999998,4.07,81.061,0.0
2412,11.995999999999999,5.959,-4.602,-0.285,0.006,0.991,-0.04,-0.11900000000000001,-0.45,16.052,0.321,80.226,0.0
2531,6.221,7.63,-0.175,-0.265,0.054000000000000006,1.006,-0.03,-0.11800000000000001,-0.45799999999999996,14.734000000000002,3.057,84.351,0.0
2651,17.840999999999998,7.184,-9.642000000000001,-0.228,-0.073,0.963,-0.025,-0.11,-0.456,13.284,-4.3260000000000005,85.713,0.0
2766,1.942,-37.678000000000004,0.271,-0.08900000000000001,-0.001,0.812,-0.033,-0.114,-0.45,6.287000000000001,-0.047,82.29,0.0
2886,0.9620000000000001,-16.581,-4.751,-0.441,-0.053,1.012,-0.055999999999999994,-0.109,-0.45,23.502,-2.975,71.222,0.0
3005,-4.279,8.514,-7.875,-0.348,-0.155,1.016,-0.064,-0.114,-0.444,18.722,-8.65,69.079,0.0
3125,-5.906000000000001,-5.023,10.946,-0.289,-0.02,0.951,-0.067,-0.128,-0.445,16.891,-1.228,70.775,-0.6303428713391488
3244,-8.741,13.886,8.365,-0.41100000000000003,-0.07,0.892,-0.07400000000000001,-0.131,-0.43700000000000006,24.668000000000003,-4.5169999999999995,69.02,-0.6106758302574863
3363,-5.696000000000001,9.634,18.2,-0.27699999999999997,0.064,0.955,-0.067,-0.135,-0.44,16.157,3.839,72.157,-0.42576257896890335
3483,-6.519,3.115,12.67,-0.287,0.036000000000000004,0.836,-0.068,-0.138,-0.44,18.929000000000002,2.459,72.132,-1.6990498921591297
3598,3.832,9.607999999999999,14.149000000000001,-0.406,0.068,0.986,-0.07200000000000001,-0.128,-0.43799999999999994,22.303,3.9410000000000003,69.345,0.08548643159646674
3717,5.827000000000001,13.850999999999999,-3.798,-0.276,-0.055999999999999994,0.9159999999999999,-0.061,-0.121,-0.446,16.726,-3.485,71.883,-0.9616552449474733
3836,7.0089999999999995,14.761,3.194,-0.28800000000000003,0.040999999999999995,0.9309999999999999,-0.05,-0.132,-0.455,17.152,2.548,77.89,-0.7584072243071177
3956,12.863,13.395999999999999,2.503,-0.259,-0.061,1.028,-0.039,-0.11800000000000001,-0.46299999999999997,14.120999999999999,-3.405,80.328,0.07910161208512434
4075,9.73,7.21,3.5789999999999997,-0.27699999999999997,-0.14400000000000002,0.927,-0.027999999999999997,-0.11199999999999999,-0.47200000000000003,16.467,-8.799,84.76299999999999,-0.7140369392552257
