MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
671,6.046,11.314,0.8220000000000001,0.067,-0.064,0.973,0.049,-0.146,-0.445,-3.9210000000000003,-3.736,117.32799999999999,0.0
790,-1.785,-1.129,-1.724,-0.214,-0.08,0.955,0.046,-0.14,-0.44799999999999995,12.572000000000001,-4.788,116.84299999999999,0.0
906,-0.5770000000000001,15.040999999999999,-2.852,0.061,0.012,0.981,0.052000000000000005,-0.139,-0.449,-3.551,0.7020000000000001,119.01,0.0
1025,4.445,5.915,-9.214,0.035,-0.066,0.978,0.057999999999999996,-0.146,-0.456,-2.035,-3.843,120.19200000000001,0.0
1143,2.888,2.5639999999999996,-4.952,0.10099999999999999,-0.09,1.031,0.067,-0.15,-0.46399999999999997,-5.5520000000000005,-4.989,122.538,0.0
1265,-5.5120000000000005,-1.05,4.664,-0.008,0.027999999999999997,0.97,0.066,-0.14800000000000002,-0.45799999999999996,0.486,1.6640000000000001,122.713,0.0
1381,0.315,-1.304,2.616,0.027000000000000003,-0.013000000000000001,1.044,0.067,-0.155,-0.46,-1.499,-0.6859999999999999,121.991,0.0
1501,-2.94,-1.435,7.595,-0.124,-0.158,1.0,0.061,-0.159,-0.461,6.971,-8.947000000000001,119.395,0.0
1619,-5.075,17.868,26.32,-0.096,-0.052000000000000005,0.843,0.064,-0.16,-0.46399999999999997,6.454,-3.56,120.554,0.0
1738,-5.932,-7.525,24.649,0.017,0.005,1.155,0.067,-0.162,-0.46799999999999997,-0.851,0.248,121.105,0.0
1861,-3.2030000000000003,16.905,17.903,0.174,0.042,0.9690000000000001,0.062,-0.157,-0.469,-10.193,2.49,120.32799999999999,0.0
1977,16.065,-0.271,28.604,0.131,0.105,0.953,0.06,-0.153,-0.47600000000000003,-7.756,6.266,119.992,0.0
2096,16.87,-7.297999999999999,17.666,-0.092,0.069,1.0,0.045,-0.134,-0.475,5.24,3.929,116.943,0.0
2215,20.423,-3.0980000000000003,1.706,-0.10400000000000001,-0.013000000000000001,1.032,0.03,-0.11900000000000001,-0.48700000000000004,5.775,-0.708,112.68,0.0
2334,13.675999999999998,10.089,-8.986,-0.135,-0.049,0.9359999999999999,0.033,-0.10300000000000001,-0.48200000000000004,8.21,-2.998,116.288,0.0
2457,9.958,11.148,-16.1,-0.07,-0.078,0.894,0.044000000000000004,-0.1,-0.49,4.45,-4.995,122.251,0.0
2574,5.1979999999999995,-0.21,-15.61,0.051,-0.124,0.8909999999999999,0.057999999999999996,-0.10099999999999999,-0.493,-3.267,-7.942,128.589,0.0
2693,11.498,-10.054,-5.67,-0.20600000000000002,-0.17,0.94,0.062,-0.10400000000000001,-0.49700000000000005,12.162,-10.245999999999999,129.442,0.0
2812,-3.9810000000000003,7.77,-1.9509999999999998,0.084,-0.099,0.9229999999999999,0.066,-0.10400000000000001,-0.503,-5.197,-6.104,130.916,0.0
2931,-5.582000000000001,-21.166,2.555,-0.106,-0.022000000000000002,0.919,0.061,-0.113,-0.496,6.587000000000001,-1.369,127.16,0.0
3054,-2.1519999999999997,4.637,5.337999999999999,-0.065,-0.086,0.948,0.05,-0.11599999999999999,-0.5,3.89,-5.181,121.887,-0.4908748402751044
3171,4.611000000000001,-9.634,-2.1180000000000003,-0.17,-0.113,1.0959999999999999,0.057,-0.12,-0.498,8.763,-5.865,123.794,0.3739317267895831
3291,-4.025,-8.312999999999999,15.592,-0.124,-0.124,0.8340000000000001,0.046,-0.11800000000000001,-0.499,8.349,-8.452,119.72200000000001,-2.3059313355508952
3409,-4.734,-1.9340000000000002,21.201,-0.065,0.048,1.22,0.045,-0.125,-0.49,3.035,2.231,118.46,0.8812888221842183
3526,0.5770000000000001,-11.331,6.685,-0.044000000000000004,0.03,1.006,0.04,-0.122,-0.49,2.505,1.712,116.71799999999999,-1.0763277038503571
3642,9.021,23.319000000000003,0.525,0.025,0.006999999999999999,1.013,0.038,-0.121,-0.485,-1.432,0.39,116.17200000000001,-0.9078577134790127
3764,8.96,-4.016,-1.3559999999999999,-0.07,-0.114,0.991,0.039,-0.12,-0.49200000000000005,4.037,-6.535,116.492,-0.949090286653469
3884,4.515,-1.785,6.449,-0.048,-0.114,0.78,0.035,-0.109,-0.48700000000000004,3.516,-8.302999999999999,116.351,-3.1204462025972965
4003,-0.035,4.497,11.043,0.053,-0.057,1.133,0.02,-0.115,-0.488,-2.6719999999999997,-2.9010000000000002,108.416,0.23887305682906335
