MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
630,-0.691,3.185,1.6969999999999998,-0.46299999999999997,0.002,0.863,-0.192,0.13,-0.377,28.219,0.138,334.51599999999996,0.0
746,3.57,7.98,-2.747,-0.426,-0.006999999999999999,0.884,-0.188,0.126,-0.384,25.752,-0.451,334.88,0.0
865,-3.99,1.347,-1.89,-0.374,0.109,0.9,-0.191,0.12300000000000001,-0.387,22.434,6.8870000000000005,335.76199999999994,0.0
984,6.676,9.555,-15.05,-0.43200000000000005,0.011000000000000001,0.907,-0.19,0.106,-0.38,25.451999999999998,0.67,339.365,0.0
1100,5.25,12.294,-4.419,-0.445,0.011000000000000001,0.836,-0.188,0.11,-0.391,28.013,0.753,338.29699999999997,0.0
1222,-1.558,8.496,-4.725,-0.502,0.095,0.845,-0.18600000000000003,0.10300000000000001,-0.39799999999999996,30.576999999999998,6.417000000000001,339.756,0.0
1339,2.957,12.425,2.572,-0.419,0.064,0.882,-0.184,0.09699999999999999,-0.40399999999999997,25.315,4.124,340.755,0.0
1455,5.093,12.084000000000001,4.62,-0.424,0.10300000000000001,0.895,-0.175,0.099,-0.4,25.218000000000004,6.542999999999999,339.023,0.0
1574,10.955,3.395,3.7539999999999996,-0.433,-0.025,0.88,-0.16399999999999998,0.102,-0.415,26.206,-1.62,336.711,0.0
1693,3.605,25.174,17.964000000000002,-0.39,-0.054000000000000006,0.9,-0.157,0.11699999999999999,-0.42,23.381999999999998,-3.4130000000000003,331.759,0.0
1816,10.386,30.625,12.084000000000001,-0.259,0.006999999999999999,0.948,-0.133,0.135,-0.44,15.28,0.435,323.072,0.0
1934,-2.205,30.791,5.337999999999999,-0.184,-0.017,0.983,-0.115,0.136,-0.44799999999999995,10.614,-0.992,318.814,0.0
2054,-0.9279999999999999,17.15,7.21,-0.096,-0.04,0.948,-0.094,0.133,-0.45399999999999996,5.756,-2.415,313.849,0.0
2173,1.479,16.284000000000002,4.008,-0.266,-0.001,0.976,-0.095,0.126,-0.45799999999999996,15.232999999999999,-0.08199999999999999,315.60200000000003,0.0
2292,5.888999999999999,15.514000000000001,5.145,-0.138,-0.044000000000000004,0.9790000000000001,-0.07400000000000001,0.132,-0.469,8.029,-2.5810000000000004,307.944,0.0
2415,5.337999999999999,20.387999999999998,3.15,-0.141,-0.037000000000000005,0.9840000000000001,-0.063,0.135,-0.475,8.17,-2.127,303.626,0.0
2534,0.306,16.905,0.271,0.015,-0.004,0.956,-0.046,0.138,-0.483,-0.929,-0.21600000000000003,296.858,0.0
2653,-3.071,11.9,3.5260000000000002,-0.062,-0.081,0.968,-0.037000000000000005,0.14,-0.486,3.674,-4.7989999999999995,293.558,0.0
2769,1.4,8.969,0.726,-0.043,-0.048,0.997,-0.031,0.129,-0.489,2.4459999999999997,-2.736,292.207,0.0
2889,0.149,5.757999999999999,-0.9279999999999999,-0.013999999999999999,-0.019,0.977,-0.025,0.126,-0.496,0.8009999999999999,-1.131,289.865,0.0
3008,2.8,5.0489999999999995,-2.415,0.008,-0.027999999999999997,1.002,-0.027000000000000003,0.125,-0.491,-0.474,-1.607,290.688,0.0
