MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
673,0.971,6.44,0.884,-0.565,0.184,0.8059999999999999,-0.245,0.05,-0.35200000000000004,34.37,12.88,356.962,0.0
792,-1.514,6.484,8.076,-0.565,0.132,0.795,-0.242,0.053,-0.35,35.025,9.427999999999999,356.142,0.0
908,-0.245,6.204,8.488,-0.55,0.24600000000000002,0.805,-0.23800000000000002,0.055,-0.354,33.173,17.007,355.546,0.0
1027,12.485999999999999,8.61,0.7090000000000001,-0.545,0.22899999999999998,0.8220000000000001,-0.239,0.06,-0.35100000000000003,32.57,15.555,354.417,0.0
1142,8.82,12.408,5.792999999999999,-0.46,0.207,0.821,-0.231,0.065,-0.363,28.508000000000003,14.175,352.76800000000003,0.0
1262,12.163,8.286,4.593999999999999,-0.44799999999999995,0.187,0.879,-0.22699999999999998,0.07,-0.37799999999999995,26.478,11.995,351.395,0.0
1381,15.82,2.3280000000000003,5.495,-0.415,0.08199999999999999,0.872,-0.22699999999999998,0.077,-0.38,25.34,5.382000000000001,349.764,0.0
1501,14.402999999999999,-3.071,10.211,-0.511,0.044000000000000004,0.872,-0.21600000000000003,0.09300000000000001,-0.381,30.365,2.88,345.37199999999996,0.0
1616,9.826,-2.826,5.075,-0.42100000000000004,0.086,0.9590000000000001,-0.221,0.109,-0.375,23.623,5.125,342.48,0.0
1736,11.043,3.727,9.012,-0.361,0.017,0.9079999999999999,-0.226,0.11900000000000001,-0.376,21.684,1.089,340.75,0.0
1859,15.985999999999999,1.19,-1.6540000000000001,-0.373,-0.055,0.971,-0.226,0.126,-0.374,20.980999999999998,-3.2680000000000002,339.471,0.0
1975,-0.9890000000000001,7.7,-0.201,-0.45899999999999996,-0.04,0.888,-0.225,0.13,-0.373,27.311999999999998,-2.6010000000000004,338.49,0.0
2094,3.185,9.17,-0.674,-0.358,-0.133,0.96,-0.217,0.124,-0.38799999999999996,20.275,-7.875,338.839,0.0
2213,-7.6129999999999995,11.629000000000001,11.935,-0.33399999999999996,-0.055,0.9690000000000001,-0.209,0.125,-0.38799999999999996,18.965999999999998,-3.2460000000000004,337.661,0.0
2333,-0.595,11.436,11.41,-0.293,0.022000000000000002,0.93,-0.19899999999999998,0.128,-0.39799999999999996,17.492,1.376,335.934,0.0
2456,5.565,14.550999999999998,4.1819999999999995,-0.265,-0.01,0.945,-0.19,0.132,-0.406,15.640999999999998,-0.632,333.767,0.0
2572,12.084000000000001,10.448,-18.148,-0.278,-0.028999999999999998,0.8809999999999999,-0.18,0.134,-0.413,17.494,-1.896,331.881,0.0
2689,16.721,-1.129,-8.172,-0.47,-0.021,1.005,-0.17300000000000001,0.134,-0.41600000000000004,25.085,-1.214,330.785,0.0
2807,3.264,12.924000000000001,-3.964,-0.375,-0.052000000000000005,0.968,-0.16899999999999998,0.129,-0.418,21.131999999999998,-3.077,331.175,0.0
2926,5.591,21.156999999999996,19.346,-0.23,-0.053,0.89,-0.159,0.145,-0.426,14.455,-3.426,326.346,0.0
3043,-3.57,-0.114,-3.6489999999999996,-0.237,-0.047,1.061,-0.149,0.14300000000000002,-0.435,12.572000000000001,-2.519,324.653,0.0
3156,1.9769999999999999,-3.325,8.977,-0.163,-0.063,0.987,-0.155,0.145,-0.44,9.37,-3.6260000000000003,325.447,-0.5930402183069118
3276,-3.675,-25.183000000000003,9.118,-0.183,0.011000000000000001,0.982,-0.157,0.149,-0.42700000000000005,10.552999999999999,0.623,325.128,-0.5163643389400865
3395,-0.665,-18.813,10.115,-0.172,0.013000000000000001,0.938,-0.171,0.147,-0.41700000000000004,10.378,0.8240000000000001,327.759,-0.955024004060495
3512,4.253,-12.975999999999999,4.419,-0.25,-0.081,0.9740000000000001,-0.18100000000000002,0.14800000000000002,-0.408,14.321,-4.745,329.353,-0.3645879246502881
3632,-0.8140000000000001,-11.988,-1.794,-0.42100000000000004,0.049,0.972,-0.196,0.149,-0.4,23.38,2.867,331.36400000000003,0.11453331929873672
3755,5.285,-8.059,0.9009999999999999,-0.461,0.083,0.882,-0.187,0.14800000000000002,-0.405,27.499000000000002,5.36,330.214,-0.4566697850109547
3873,9.039,1.111,-8.592,-0.465,0.045,0.885,-0.18899999999999997,0.146,-0.39799999999999996,27.701999999999998,2.928,330.952,-0.4087625218804806
3992,3.176,2.144,-6.466,-0.177,-0.022000000000000002,1.1420000000000001,-0.18,0.153,-0.408,8.783999999999999,-1.104,328.17,0.8827415480532708
4109,11.384,29.654,-8.68,-0.021,-0.098,0.857,-0.174,0.13699999999999998,-0.41,1.389,-6.5120000000000005,330.35,-2.0973118120198166
4228,1.006,-7.962999999999999,-11.699000000000002,-0.195,-0.068,1.04,-0.16899999999999998,0.135,-0.42,10.61,-3.76,329.949,-0.14769590593258375
4350,5.635,30.179000000000002,10.071,-0.10800000000000001,-0.156,0.934,-0.161,0.14400000000000002,-0.419,6.484,-9.462,326.728,-1.1819951501158348
4467,-8.636000000000001,-2.24,1.794,-0.205,-0.07400000000000001,1.045,-0.153,0.14300000000000002,-0.436,11.095999999999998,-4.044,325.534,-0.055593815122897516
4587,-9.398,12.985,-4.55,-0.098,-0.09,0.914,-0.151,0.128,-0.44299999999999995,6.064,-5.62,328.20300000000003,-1.4710388156682286
4702,-11.48,0.674,10.395,-0.35,0.027999999999999997,0.938,-0.14300000000000002,0.122,-0.445,20.457,1.714,328.07099999999997,-0.6828794956589918
4822,-6.291,-0.157,4.428,0.013000000000000001,0.0,1.038,-0.136,0.11800000000000001,-0.442,-0.7340000000000001,0.024,327.68800000000005,-0.3091094539858684
4941,-0.192,5.32,-5.477,-0.11800000000000001,0.086,0.877,-0.14400000000000002,0.11,-0.447,7.647,5.572,331.286,-1.803740354003014
5060,-3.6839999999999997,3.6489999999999996,1.207,-0.04,0.055999999999999994,1.122,-0.138,0.10300000000000001,-0.444,2.056,2.8789999999999996,331.84,0.46433688326283484
5179,10.999,-0.8140000000000001,9.879,-0.28300000000000003,0.008,0.972,-0.147,0.10800000000000001,-0.446,16.225,0.478,332.274,-0.6119912214005558
5296,11.470999999999998,-3.693,14.927,-0.261,-0.079,0.98,-0.14,0.12,-0.445,14.889000000000001,-4.611000000000001,327.94599999999997,-0.5471893811115267
5415,-1.207,-14.989,-4.585,-0.083,-0.13,0.816,-0.152,0.128,-0.442,5.742000000000001,-9.074,328.412,-2.45406878940733
5538,2.004,-7.63,21.359,0.001,-0.081,1.161,-0.172,0.127,-0.419,-0.06,-3.992,332.153,0.7605979094776769
5654,-3.281,-17.945999999999998,19.416,-0.574,-0.19,0.696,-0.20199999999999999,0.133,-0.391,38.525999999999996,-15.288,335.157,-1.6093185373751846
5770,-5.9239999999999995,-10.22,13.431,-0.467,-0.013000000000000001,0.966,-0.20600000000000002,0.14400000000000002,-0.382,25.805,-0.7709999999999999,333.51,-0.12271385323494699
5889,-6.02,3.64,6.694,-0.392,0.040999999999999995,0.935,-0.214,0.14,-0.389,22.745,2.5,335.369,-0.6788324257099327
6007,2.8789999999999996,8.006,-1.26,-0.344,-0.11,0.883,-0.214,0.138,-0.38,21.143,-7.085,335.65,-1.2634508526306663
6124,-2.695,-10.377,6.02,-0.401,0.027999999999999997,0.968,-0.213,0.132,-0.38299999999999995,22.493000000000002,1.66,336.666,-0.33027329080389456
6243,4.803999999999999,-1.033,7.691,-0.518,0.045,0.9420000000000001,-0.21100000000000002,0.139,-0.382,28.801,2.755,335.33,-0.055423404302394674
6363,14.123,17.395,3.4389999999999996,-0.319,-0.036000000000000004,0.877,-0.209,0.145,-0.38299999999999995,19.971,-2.346,333.83099999999996,-1.4447398498700592
6481,10.238,-4.751,7.28,-0.327,-0.061,0.919,-0.214,0.154,-0.38299999999999995,19.569000000000003,-3.778,332.86199999999997,-1.0068524593658108
6600,1.006,10.955,20.948,-0.315,-0.027999999999999997,0.89,-0.215,0.16699999999999998,-0.38299999999999995,19.465,-1.791,330.798,-1.3230086978576052
6720,3.8680000000000003,3.509,-7.245,-0.32,-0.066,1.084,-0.212,0.165,-0.381,16.417,-3.477,330.695,0.49592252296714057
6842,3.01,-9.039,3.6660000000000004,-0.373,-0.018000000000000002,0.9179999999999999,-0.21899999999999997,0.16699999999999998,-0.374,22.092,-1.115,331.26099999999997,-0.8762603908965325
6961,0.35,12.084000000000001,-8.767000000000001,-0.374,-0.006999999999999999,0.909,-0.217,0.158,-0.38,22.34,-0.45,332.452,-0.9448081808623493
