MS,Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z,Pitch,Roll,Heading,Accel_Norm
659,10.448,1.452,-1.663,-0.449,0.25,0.8540000000000001,-0.209,0.054000000000000006,-0.375,26.803,16.29,354.129,0.0
776,23.756,10.824000000000002,0.41100000000000003,-0.524,0.223,0.8540000000000001,-0.21,0.057999999999999996,-0.374,30.688000000000002,14.639000000000001,353.16,0.0
894,25.349,20.011,-1.304,-0.39,0.076,0.882,-0.19899999999999998,0.075,-0.38299999999999995,23.77,4.9430000000000005,347.834,0.0
1014,22.706,20.116,-6.492000000000001,-0.311,0.004,0.9179999999999999,-0.195,0.085,-0.406,18.699,0.263,345.0,0.0
1134,3.841,23.677,-3.447,-0.245,0.028999999999999998,0.924,-0.17800000000000002,0.08900000000000001,-0.413,14.865,1.8,341.853,0.0
1257,2.231,17.15,9.389,-0.261,0.087,0.956,-0.158,0.09300000000000001,-0.43,15.214,5.191,338.194,0.0
1373,4.016,14.709000000000001,3.929,-0.235,0.066,0.9359999999999999,-0.153,0.098,-0.442,14.091,4.027,335.79699999999997,0.0
1489,8.19,7.595,-2.459,-0.239,0.08199999999999999,0.956,-0.146,0.094,-0.44799999999999995,13.984000000000002,4.908,335.86699999999996,0.0
1609,7.035,5.521,6.0729999999999995,-0.239,0.146,1.044,-0.138,0.099,-0.447,12.757,7.949,333.08099999999996,0.0
1728,7.919,-0.429,2.144,-0.243,-0.05,0.866,-0.134,0.109,-0.45299999999999996,15.642000000000001,-3.278,329.529,0.0
1851,13.422,5.189,-1.383,-0.09699999999999999,-0.068,1.05,-0.13,0.106,-0.449,5.2829999999999995,-3.713,329.465,0.0
1970,6.221,9.984,-3.4560000000000004,-0.006999999999999999,-0.106,1.032,-0.122,0.113,-0.451,0.391,-5.8660000000000005,325.625,0.0
2086,5.127999999999999,3.054,-6.5889999999999995,-0.053,-0.018000000000000002,0.945,-0.121,0.11199999999999999,-0.451,3.215,-1.069,325.785,0.0
2206,2.844,9.398,-2.1519999999999997,0.040999999999999995,-0.11199999999999999,0.986,-0.124,0.114,-0.45399999999999996,-2.37,-6.455,326.111,0.0
2324,-0.429,8.776,4.349,-0.079,-0.017,0.977,-0.127,0.109,-0.45799999999999996,4.618,-1.0090000000000001,327.849,0.0
2444,-4.428,11.427,6.624,-0.14300000000000002,-0.04,0.935,-0.11900000000000001,0.114,-0.45299999999999996,8.714,-2.47,324.89099999999996,0.0
2561,4.935,0.061,6.729,-0.317,-0.081,0.948,-0.12,0.11,-0.456,18.413,-4.8839999999999995,325.985,0.0
2679,-2.52,11.2,10.806,-0.127,-0.094,0.937,-0.11199999999999999,0.11599999999999999,-0.45899999999999996,7.685,-5.729,322.491,0.0
